sample	chemistry	basecaller	folder
HG02462	R9	dorado_late	HG02462-ONT-hg38-R9-LSK110-dorado096_sup_5mCG_v01
HG02464	R9	dorado_late	HG02464-ONT-hg38-R9-LSK110-dorado096_sup_5mCG_v01
HG02465	R9	dorado_mid	HG02465-ONT-hg38-R9-LSK110-dorado050_sup_5mCG_v33
HG02470	R10	dorado_late	HG02470-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG02471	R9	dorado_mid	HG02471-ONT-hg38-R9-LSK110-dorado034_sup_5mCG_5hmCG_v33
HG02479	R9	dorado_mid	HG02479-ONT-hg38-R9-LSK110-dorado050_sup_5mCG_v33
HG02484	R10	dorado_late	HG02484-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG02491	R9	guppy	HG02491-ONT-hg38-R9-LSK110-guppy657_sup_5mC_5hmC
HG02497	R9	dorado_mid	HG02497-ONT-hg38-R9-LSK110-dorado050_sup_5mCG_v33
HG02501	R9	dorado_mid	HG02501-ONT-hg38-R9-LSK110-dorado050_sup_5mCG_v33
HG02502	R9	guppy	HG02502-ONT-hg38-R9-LSK110-guppy-sup-5mC
HG02511	R9	dorado_mid	HG02511-ONT-hg38-R9-LSK110-dorado034_sup_5mCG_5hmCG_v33
HG02541	R9	dorado_mid	HG02541-ONT-hg38-R9-LSK110-dorado050_sup_with5mC
HG02549	R10	dorado_late	HG02549-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG02555	R10	dorado_late	HG02555-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG02570	R9	dorado_late	HG02570-ONT-hg38-R9-LSK110-dorado096_sup_5mCG_v01
HG02571	R9	dorado_mid	HG02571-ONT-hg38-R9-LSK110_dorado050_sup_5mCG
HG02594	R10	dorado_late	HG02594-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG02601	R10	dorado_late	HG02601-ONT-hg38-R10-LSK114-dorado090_sup_5mCG_5hmCG_v500
HG02613	R9	dorado_mid	HG02613-ONT-hg38-R9-LSK110-dorado050_sup_5mCG_v33
HG02614	R9	guppy	HG02614-ONT-hg38-R9-LSK110-guppy-sup-5hmc_5mc_cg
HG02623	R9	dorado_other	HG02623-ONT-hg38-R9-LSK110-orado050_sup_5mCG_v33
HG02624	R9	dorado_mid	HG02624-ONT-hg38-R9-LSK110-dorado050_sup_5mCG_v33
